STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","015200","1027","421010152001027",Block 1027,G5040,R,,,S,6024,0,"+39.9823948","-075.1656626"
"42","101","014700","2007","421010147002007",Block 2007,G5040,R,,,S,11727,0,"+39.9803293","-075.1644968"
"42","101","015300","2003","421010153002003",Block 2003,G5040,R,,,S,6737,0,"+39.9845921","-075.1623572"
"42","101","021000","1008","421010210001008",Block 1008,G5040,R,,,S,16677,0,"+40.0263239","-075.2129500"
"42","101","021000","4007","421010210004007",Block 4007,G5040,R,,,S,5692,0,"+40.0240005","-075.2188355"
"42","101","021000","4020","421010210004020",Block 4020,G5040,R,,,S,6643,0,"+40.0232585","-075.2178473"
"42","101","021000","5004","421010210005004",Block 5004,G5040,R,,,S,8458,0,"+40.0235073","-075.2146015"
"42","101","021000","4036","421010210004036",Block 4036,G5040,R,,,S,9379,0,"+40.0211409","-075.2144701"
"42","101","021000","5001","421010210005001",Block 5001,G5040,R,,,S,7773,0,"+40.0241860","-075.2124781"
"42","101","012000","1002","421010120001002",Block 1002,G5040,R,,,S,34043,0,"+39.9988280","-075.2279728"
"42","101","012000","1004","421010120001004",Block 1004,G5040,R,,,S,44879,0,"+39.9974648","-075.2304755"
"42","101","012000","1020","421010120001020",Block 1020,G5040,R,,,S,14982,0,"+39.9938639","-075.2314901"
"42","101","011800","1002","421010118001002",Block 1002,G5040,R,,,S,16648,0,"+39.9895303","-075.2367779"
"42","101","011800","2003","421010118002003",Block 2003,G5040,R,,,S,17288,0,"+39.9875285","-075.2336371"
"42","101","011800","2005","421010118002005",Block 2005,G5040,R,,,S,19010,0,"+39.9862767","-075.2359158"
"42","101","012000","1018","421010120001018",Block 1018,G5040,R,,,S,19826,0,"+39.9934845","-075.2295586"
"42","101","024100","1007","421010241001007",Block 1007,G5040,R,,,S,25778,0,"+40.0338581","-075.1740745"
"42","101","024000","1008","421010240001008",Block 1008,G5040,R,,,S,17653,0,"+40.0263868","-075.1785449"
"42","101","024000","1004","421010240001004",Block 1004,G5040,R,,,S,5119,0,"+40.0283277","-075.1758984"
"42","101","020600","1008","421010206001008",Block 1008,G5040,R,,,S,35229,0,"+40.0197999","-075.1827740"
"42","101","017000","2004","421010170002004",Block 2004,G5040,R,,,S,6740,0,"+40.0130193","-075.1801586"
"42","101","015200","1023","421010152001023",Block 1023,G5040,R,,,S,13717,0,"+39.9837486","-075.1670599"
"42","101","014800","1018","421010148001018",Block 1018,G5040,R,,,S,3335,0,"+39.9791319","-075.1708164"
"42","101","005500","1000","421010055001000",Block 1000,G5040,R,,,S,7748,0,"+39.9177410","-075.2468981"
"42","101","006300","4010","421010063004010",Block 4010,G5040,R,,,S,13946,0,"+39.9192855","-075.2440181"
"42","101","005500","2004","421010055002004",Block 2004,G5040,R,,,S,18423,0,"+39.9099959","-075.2463142"
"42","101","005500","1009","421010055001009",Block 1009,G5040,R,,,S,10977,0,"+39.9111800","-075.2443182"
"42","101","006300","4001","421010063004001",Block 4001,G5040,R,,,S,33431,0,"+39.9217169","-075.2410795"
"42","101","006300","4019","421010063004019",Block 4019,G5040,R,,,S,16256,0,"+39.9187144","-075.2406600"
"42","101","006000","5002","421010060005002",Block 5002,G5040,R,,,S,9722,0,"+39.9172493","-075.2389162"
